Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Tuned Random Forest,0.713411046955006,0.31992719586660406,0.7763214133067389,0.45312045237204274,0.816298027647122
Tuned Gradient Boosting,0.8559320187384246,0.6036678553234844,0.1688274683003277,0.2638610554442218,0.8193499829171803
