Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7143043904564768,0.3182604545725705,0.7600797834449352,0.4486586493987049,0.8105827554685582
Random Forest,0.774572393506918,0.361892901618929,0.6210286365579142,0.4573017205203525,0.804550393482415
Gradient Boosting,0.8551911972981806,0.60366870483602,0.15472289499928765,0.24631435699705148,0.8187109860011178
