Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
Tuned Random Forest,0.6,0.7823292297635908,0.37511559478772594,0.6357030916084913,0.4718198160093053,0.816298027647122
Tuned Gradient Boosting,0.25,0.8030940189563133,0.40238003095975233,0.5925345490810657,0.47928550849899165,0.8193499829171803
